ID;Gender;Inst_HUN;Pr_area_ENG;Pr_HUN;Pr_ENG_bachelor;Grad_level;FEOR4;FEOR3;ISCO1;ISCO3;ISCO1_ENG;ISCO3_ENG;Req_HEd;NUTS_region;Weekly_hrs;Mountly_wage_HUF
7249;M;Budapesti Corvinus Egyetem;Economic Science;nemzetközi kapcsolatok;NA;E;2512;251;2;241;Professionals;Finance professionals;1;HU101;40;620400
7250;M;Pécsi Tudományegyetem;Economic Science;pénzügy és számvitel;Finance and Accounting;B;2531;253;2;243;Professionals;"Sales; marketing and public relations professionals";1;HU101;40;203800
7251;F;Károli Gáspár Református Egyetem;Law;jogász;NA;O;1412;141;1;121;Managers;Business services and administration managers;1;HU101;40;500000
7252;M;Szent István Egyetem;Economic Science;mûszaki menedzser;NA;E;2137;213;2;214;Professionals;Engineering professionals (excluding electrotechnology);1;not NUTS important taxpayer;40;360940
7253;F;Tomori Pál Fõiskola;Economic Science;gazdálkodási és menedzsment;Business management;B;4121;412;4;431;Clerical support workers;Numerical and material recording clerks;0;HU331;40;175500
7254;M;Pázmány Péter Katolikus Egyetem;Law;jogász;NA;E;2611;261;2;261;Professionals;Legal professionals;1;HU101;40;171000
7255;F;Budapesti Corvinus Egyetem;Economic Science;nemzetközi kapcsolatok;NA;E;3639;363;3;333;Technicians and associate professionals;Business services agents;1;not NUTS important taxpayer;40;315517
7256;M;Budapesti Corvinus Egyetem;Informatics;gazdasági informatikai;NA;E;2141;214;2;251;Professionals;Software and applications developers and analysts;1;HU101;40;146900
7257;M;Miskolci Egyetem;Law;jogász;NA;E;2615;261;2;261;Professionals;Legal professionals;1;HU321;40;84522
7258;F;Semmelweis Egyetem;Health Science;fogorvostudományi;NA;E;2213;221;2;226;Professionals;Other health professionals;1;HU101;30;108000
7259;F;Szolnoki Fõiskola;Economic Science;külgazdasági;NA;F;3142;314;3;351;Technicians and associate professionals;Information and communications technology operations and user support technicians;1;HU101;40;264000
7260;M;Dunaújvárosi Fõiskola;Engineering Science;gépészmérnöki;NA;F;2118;211;2;214;Professionals;Engineering professionals (excluding electrotechnology);1;not NUTS important taxpayer;40;339000
7261;F;Eszterházy Károly Fõiskola;Social Science;informatikus könyvtáros;Library and information;B;5113;511;5;522;"Clerical support workers; service and sales workers";Shop salespersons;0;HU102;40;114479
7262;M;Budapesti Mûszaki és Gazdaságtudományi Egyetem;Engineering Science;építõmérnöki;NA;E;2116;211;2;214;Professionals;Engineering professionals (excluding electrotechnology);1;HU101;40;132600
7263;M;Miskolci Egyetem;Engineering Science;gépészmérnöki;NA;E;2118;211;2;214;Professionals;Engineering professionals (excluding electrotechnology);1;HU311;40;245900
7264;F;Budapesti Gazdasági Fõiskola;Economy;pénzügyi szakügyintézõ;NA;A;4112;411;4;411;Clerical support workers;General office clerks;0;HU101;40;470309
7265;M;Edutus Fõiskola;Economic Science;kereskedelmi;NA;F;1332;133;1;141;Managers;Hotel and restaurant managers;1;HU102;40;64695
7266;M;Nyugat-Magyarországi Egyetem;Art Education;képi ábrázolás;Imagery;B;3719;371;2;265;Professionals;Creative and performing artists;1;HU101;20;59220
7267;F;Nyugat-Magyarországi Egyetem;Agricultural Science;élelmiszermérnöki;Food engineering;B;3139;313;3;311;Technicians and associate professionals;Physical and engineering science technicians;1;HU101;40;261208
7268;F;Kodolányi János Fõiskola;Hospitality and tourism;idegenforgalmi szakmenedzser;NA;A;9239;923;9;962;Manual workers;Other elementary workers;0;HU332;40;71800
