ID;Gender;Inst_HUN;Pr_area_ENG;Pr_HUN;Pr_ENG_bachelor;Grad_level;FEOR4;FEOR3;ISCO1;ISCO3;ISCO1_ENG;ISCO3_ENG;Req_HEd;NUTS_region;Weekly_hrs;Mountly_wage_HUF
167;M;Dunaújvárosi Fõiskola;Informatics;mûszaki informatikai;NA;F;2159;215;2;252;Professionals;Database and network professionals;1;HU231;40;110000
168;M;Dunaújvárosi Fõiskola;Engineering Science;gépészmérnöki;NA;F;3116;311;3;311;Technicians and associate professionals;Physical and engineering science technicians;1;HU211;40;199500
169;F;Pannon Egyetem;Economy;banki szakügyintézõ;NA;A;5113;511;5;522;"Clerical support workers; service and sales workers";Shop salespersons;0;HU213;20;46500
170;M;Debreceni Egyetem;Computer Science and Information Technology;gazdaságinformatikus;Business Information;B;2142;214;2;251;Professionals;Software and applications developers and analysts;1;not NUTS important taxpayer;40;441154
171;F;Széchenyi István Egyetem;Economic Science;gazdálkodási és menedzsment;Business management;B;2624;262;2;263;Professionals;Social and religious professionals;1;HU231;40;200000
172;F;Budapesti Gazdasági Fõiskola;Economy;pénzügyi szakügyintézõ;NA;A;3910;391;3;333;Technicians and associate professionals;Business services agents;1;HU101;40;184248
173;F;Pázmány Péter Katolikus Egyetem;Law;jogász;NA;E;2615;261;2;261;Professionals;Legal professionals;1;HU101;40;108000
174;M;Eötvös Loránd Tudományegyetem;Sport Science;rekreációszervezés és egészségfejlesztés;Health improvement;B;1329;132;1;134;Managers;Professional services managers;1;HU101;0;113500
175;F;Szegedi Tudományegyetem;Health Science;fogorvostudományi;NA;E;2213;221;2;226;Professionals;Other health professionals;1;HU213;30;184667
176;F;Széchenyi István Egyetem;Economic Science;nemzetközi gazdaság és gazdálkodás;NA;M;2910;291;2;261;Professionals;Legal professionals;1;not NUTS important taxpayer;40;353600
177;F;Károli Gáspár Református Egyetem;Religious Science;katekéta-lelkipásztori munkatárs;"Catechist; pastoral staff";B;3730;373;3;341;Technicians and associate professionals;"Legal; social and religious associate professionals";1;HU323;20;58000
178;M;Óbudai Egyetem;Engineering Science;villamosmérnöki;Electric engineer;B;7521;752;7;712;"Skilled agricultural; forestry and fishery workers; craft and related trades workers";Building finishers and related trades workers;0;HU211;40;115000
179;M;Szegedi Tudományegyetem;Teacher training;tanári;NA;M;7321;732;7;721;"Skilled agricultural; forestry and fishery workers; craft and related trades workers";"Sheet and structural metal workers; moulders and welders; and related workers";0;HU333;35;83237
180;F;Kaposvári Egyetem;Teacher training;vizuális kommunikáció tanári;NA;F;3136;313;3;311;Technicians and associate professionals;Physical and engineering science technicians;1;HU332;40;108000
181;F;Pannon Egyetem;Economy;banki szakügyintézõ;NA;A;9239;923;9;962;Manual workers;Other elementary workers;0;HU211;40;152252
182;F;Budapesti Gazdasági Fõiskola;Economic Science;pénzügy és számvitel;Finance and Accounting;B;3520;352;3;333;Technicians and associate professionals;Business services agents;1;HU222;40;196000
183;F;Nyugat-Magyarországi Egyetem;Agricultural Science;agrármérnöki;NA;E;2533;253;2;243;Professionals;"Sales; marketing and public relations professionals";1;not NUTS important taxpayer;40;0
184;F;Semmelweis Egyetem;Health Science;általános orvostudományi;NA;E;2211;221;2;221;Professionals;Medical doctors;1;HU101;36;196700
185;M;Óbudai Egyetem;Engineering Science;villamosmérnöki;NA;F;2910;291;2;261;Professionals;Legal professionals;1;not NUTS important taxpayer;40;668760
186;F;Eötvös Loránd Tudományegyetem;Arts and Humanities;pedagógia;Pedagogy;B;2432;243;2;234;Professionals;Primary school and early childhood teachers;1;HU101;40;95000
187;M;Budapesti Kommunikációs és Üzleti Fõiskola;Hospitality and tourism;idegenforgalmi szakmenedzser;NA;A;5113;511;5;522;"Clerical support workers; service and sales workers";Shop salespersons;0;HU102;40;156802
188;F;Szegedi Tudományegyetem;Law;jogász;NA;E;2615;261;2;261;Professionals;Legal professionals;1;HU331;40;108000
189;F;Debreceni Egyetem;Social Science;szociálpedagógia;Social pedagogy;B;3622;362;3;332;Technicians and associate professionals;Sales and purchasing agents and brokers;1;HU323;40;94700
190;F;Óbudai Egyetem;Engineering Science;villamosmérnöki;Electric engineer;B;2118;211;2;214;Professionals;Engineering professionals (excluding electrotechnology);1;not NUTS important taxpayer;40;331499
191;F;Nyíregyházi Fõiskola;Social Science;nemzetközi tanulmányok;International Studies;B;4223;422;4;422;Clerical support workers;Client information workers;0;HU323;40;123872
192;F;Budapesti Kommunikációs és Üzleti Fõiskola;Economic Science;turizmus-vendéglátás;Tourism ;B;4223;422;4;422;Clerical support workers;Client information workers;0;HU312;40;164678
193;F;Széchenyi István Egyetem;Engineering Science;építõmérnöki;Civil engineering;B;3190;319;3;311;Technicians and associate professionals;Physical and engineering science technicians;1;HU213;40;122900
194;F;Szegedi Tudományegyetem;Arts and Humanities;történelem;NA;E;3624;362;3;332;Technicians and associate professionals;Sales and purchasing agents and brokers;1;HU333;40;125784
195;F;Eötvös Loránd Tudományegyetem;Arts and Humanities;romanisztika;Romance;B;2627;262;2;264;Professionals;"Authors; journalists and linguists";1;HU101;40;110000
196;M;Miskolci Egyetem;Informatics;mûszaki informatikai;NA;E;3212;321;3;312;Technicians and associate professionals;"Mining; manufacturing and construction supervisors";1;not NUTS important taxpayer;40;817221
197;F;Pécsi Tudományegyetem;Arts and Humanities;pszichológia;NA;E;2628;262;2;263;Professionals;Social and religious professionals;1;HU101;20;100911
198;M;Edutus Fõiskola;Economic Science;gazdálkodási;NA;F;2139;213;2;214;Professionals;Engineering professionals (excluding electrotechnology);1;not NUTS important taxpayer;40;368560
199;M;Szent István Egyetem;Economic Science;marketing;NA;M;1339;133;1;143;Managers;Other services managers;1;not NUTS important taxpayer;40;202158
200;F;Dunaújvárosi Fõiskola;"Commerce; marketing; business administration";logisztikai mûszaki menedzserasszisztens;NA;A;3622;362;3;332;Technicians and associate professionals;Sales and purchasing agents and brokers;1;HU102;40;0
201;F;Budapesti Kommunikációs és Üzleti Fõiskola;Social Science;kommunikáció és médiatudomány;Communication and Media Science;B;1335;133;1;134;Managers;Professional services managers;1;HU101;40;108000
202;F;Edutus Fõiskola;Economic Science;kereskedelmi;NA;F;3611;361;3;331;Technicians and associate professionals;Financial and mathematical associate professionals;1;HU102;40;140000
203;F;Budapesti Mûszaki és Gazdaságtudományi Egyetem;Engineering Science;közlekedésmérnöki;NA;E;3623;362;3;332;Technicians and associate professionals;Sales and purchasing agents and brokers;1;not NUTS important taxpayer;40;332874
204;F;Budapesti Corvinus Egyetem;Economic Science;gazdálkodási;NA;E;3614;361;3;331;Technicians and associate professionals;Financial and mathematical associate professionals;1;not NUTS important taxpayer;40;288579
205;F;Szegedi Tudományegyetem;Teacher Training;gyógypedagógia;Special education;B;1210;121;1;112;Managers;Managing directors and chief executives;1;HU333;20;50800
206;F;Szent István Egyetem;Health Science;egészségügyi szervezõ;Health organization;B;3161;316;2;214;Professionals;Engineering professionals (excluding electrotechnology);1;HU332;40;92000
207;F;Tomori Pál Fõiskola;Economic Science;gazdálkodási és menedzsment;Business management;B;4129;412;4;441;Clerical support workers;Other clerical support workers;0;HU101;40;110144
208;F;Kodolányi János Fõiskola;Teacher training;angol nyelv és irodalom;NA;P;3632;363;2;243;Professionals;"Sales; marketing and public relations professionals";1;not NUTS important taxpayer;40;195000
209;F;Eötvös Loránd Tudományegyetem;Teacher Training;tanító;Teacher;B;3161;316;2;214;Professionals;Engineering professionals (excluding electrotechnology);1;HU322;40;141900
210;M;Szent István Egyetem;Agricultural Science;gazdasági és vidékfejlesztési agrármérnöki;Economic and Rural Development Agricultural Engineering;B;5211;521;5;514;"Clerical support workers; service and sales workers";"Hairdressers; beauticians and related workers";0;HU333;20;59220
211;M;Szegedi Tudományegyetem;Arts and Humanities;magyar nyelv és irodalom;NA;E;2716;271;2;264;Professionals;"Authors; journalists and linguists";1;HU333;40;93000
212;M;Dunaújvárosi Fõiskola;Engineering Science;gépészmérnöki;Mechanical Engineer;B;2910;291;2;261;Professionals;Legal professionals;1;HU313;40;217750
213;M;Eötvös Loránd Tudományegyetem;Informatics;programozó matematikus;NA;F;3631;363;3;333;Technicians and associate professionals;Business services agents;1;not NUTS important taxpayer;40;1315000
214;M;Debreceni Egyetem;Arts and Humanities;andragógia;Andragogy;B;2312;231;2;263;Professionals;Social and religious professionals;1;HU321;40;155000
215;F;Nyíregyházi Fõiskola;Social Science;szociálpedagógia;Social pedagogy;B;4132;413;4;432;Clerical support workers;Material-recording and transport clerks;0;HU323;40;119600
216;F;Zsigmond Király Fõiskola;Social Science;kommunikáció és médiatudomány;Communication and Media Science;B;1333;133;1;142;Managers;Retail and wholesale trade managers;1;HU101;0;93000
217;M;Budapesti Kommunikációs és Üzleti Fõiskola;Economic Science;gazdálkodási és menedzsment;Business management;B;5132;513;5;513;"Clerical support workers; service and sales workers";Waiters and bartenders;0;HU101;40;124200
218;F;Debreceni Egyetem;Health Science;általános orvostudományi;NA;E;2211;221;2;221;Professionals;Medical doctors;1;HU312;40;198900
219;F;Károli Gáspár Református Egyetem;Religious Science;katekéta-lelkipásztori munkatárs;"Catechist; pastoral staff";B;2910;291;2;261;Professionals;Legal professionals;1;HU332;40;114600
220;F;Budapesti Corvinus Egyetem;Economic Science;gazdálkodási és menedzsment;Business management;B;3622;362;3;332;Technicians and associate professionals;Sales and purchasing agents and brokers;1;HU101;40;300000
221;M;Szegedi Tudományegyetem;Social Science;szociális munka;Social work;B;3513;351;3;341;Technicians and associate professionals;"Legal; social and religious associate professionals";1;HU211;40;180702
222;M;Szegedi Tudományegyetem;Natural sciences;vegyész;NA;E;2117;211;2;214;Professionals;Engineering professionals (excluding electrotechnology);1;not NUTS important taxpayer;40;754505
223;F;Nyugat-Magyarországi Egyetem;Economic Science;gazdálkodási;NA;E;3611;361;3;331;Technicians and associate professionals;Financial and mathematical associate professionals;1;HU221;40;219999
224;F;Szegedi Tudományegyetem;Education;médiatechnológus asszisztens;NA;A;5133;513;5;513;"Clerical support workers; service and sales workers";Waiters and bartenders;0;HU232;20;9391
225;F;Nyugat-Magyarországi Egyetem;Arts and Humanities;andragógia;Andragogy;B;5213;521;5;514;"Clerical support workers; service and sales workers";"Hairdressers; beauticians and related workers";0;HU221;20;46500
226;F;Wesley János Lelkészképzõ Fõiskola;Social Science;általános szociális munkás;NA;F;3621;362;3;332;Technicians and associate professionals;Sales and purchasing agents and brokers;1;not NUTS important taxpayer;40;4696
227;F;Debreceni Egyetem;Health Science;ápolás és betegellátás;Nursing and Patient Care;B;3321;332;3;325;Technicians and associate professionals;Other health associate professionals;1;HU321;40;231745
228;F;Apor Vilmos Katolikus Fõiskola;Social Science;szociálpedagógia;Social pedagogy;B;3520;352;3;333;Technicians and associate professionals;Business services agents;1;HU313;40;204000
229;M;Óbudai Egyetem;Engineering Science;villamosmérnöki;Electric engineer;B;3190;319;3;311;Technicians and associate professionals;Physical and engineering science technicians;1;HU101;40;133000
230;M;Szent István Egyetem;Agricultural Science;környezetgazdálkodási agrármérnöki;NA;E;3152;315;3;313;Technicians and associate professionals;Process control technicians;1;HU312;40;241801
231;F;Pázmány Péter Katolikus Egyetem;Arts and Humanities;történelem;History;B;4222;422;4;422;Clerical support workers;Client information workers;0;HU101;40;93650
232;F;Szent István Egyetem;Agricultural Science;gazdasági agrármérnöki;NA;E;4114;411;4;413;Clerical support workers;Keyboard operators;0;HU101;30;68462
233;M;Pécsi Tudományegyetem;Social Science;kommunikáció és médiatudomány;Communication and Media Science;B;5113;511;5;522;"Clerical support workers; service and sales workers";Shop salespersons;0;HU231;20;54000
234;F;Eszterházy Károly Fõiskola;Teacher training;tanári;NA;M;3624;362;3;332;Technicians and associate professionals;Sales and purchasing agents and brokers;1;HU101;40;138853
235;F;Budapesti Corvinus Egyetem;Economic Science;nemzetközi kapcsolatok;NA;E;3612;361;3;331;Technicians and associate professionals;Financial and mathematical associate professionals;1;not NUTS important taxpayer;40;330000
236;M;Szegedi Tudományegyetem;Law;jogász;NA;E;1328;132;1;134;Managers;Professional services managers;1;HU102;40;251877
237;F;Kodolányi János Fõiskola;Social Science;nemzetközi tanulmányok;International Studies;B;2910;291;2;261;Professionals;Legal professionals;1;HU101;40;1491751
238;F;Debreceni Egyetem;Computer Science and Information Technology;gazdaságinformatikus;Business Information;B;4121;412;4;431;Clerical support workers;Numerical and material recording clerks;0;HU101;40;108000
239;F;Szegedi Tudományegyetem;Natural sciences;környezettan;Ecology;B;3622;362;3;332;Technicians and associate professionals;Sales and purchasing agents and brokers;1;HU333;40;155100
240;F;Budapesti Kommunikációs és Üzleti Fõiskola;Economic Science;gazdálkodási;NA;F;3910;391;3;333;Technicians and associate professionals;Business services agents;1;HU101;40;0
